Imovel_ID,Preço,Area,Latitude,Longitude,Qtde_Quartos,Qtde_Banheiros,Qtde_Suites,Vagas_Garagem,Valor_IPTU,Valor_Cond,Regiao,Bairro,DataExtração,Rua,Numero,Unnamed: 17
2825754,400000.0,69.02,-19.841768300000002,-43.89168510000002,3,1,0,1,153.0,297.0,nordeste,Acaiaca,None,290,,
3233806,400000.0,62.0,-19.912712699999997,-43.92056589999999,2,1,0,2,400.0,121.29,leste,Santa Tereza,None,290,,
49101,405000.0,28.87,-19.931253100000003,-43.9373109,1,1,1,1,380.0,232.32,centro-sul,Savassi,None,290,,
51968,405000.0,28.57,-19.931253100000003,-43.9373109,1,1,1,1,380.0,232.32,centro-sul,Savassi,None,291,,
358108,405000.0,81.0,-19.985345000000002,-44.02716770000001,3,2,1,2,200.0,100.0,barreiro,Diamante(barreiro),None,291,,
3121790,405000.0,150.0,-19.903175,-43.9607661,2,2,1,2,310.0,115.08,noroeste,Nova Esperança,None,291,,
355501,407000.0,81.0,-19.986647100000003,-44.02733660000001,3,2,1,2,250.0,134.0,barreiro,Diamante(barreiro),None,291,,
35114,410000.0,81.0,-19.985543600000003,-44.02706990000002,3,2,1,2,200.0,100.0,barreiro,Diamante(barreiro),None,291,,
3256393,410000.0,90.0,-19.918813500000002,-43.98798729999999,3,2,1,2,280.0,88.38,noroeste,Minas Brasil,None,291,,
143672,415000.0,149.8,-19.9952112,-44.02066500000001,3,2,1,2,300.0,1491.97,barreiro,Diamante,None,291,,
353569,415000.0,105.0,-19.924072,-43.93943890000003,3,2,0,0,350.0,139.0,centro-sul,Centro,None,291,,
358119,415000.0,81.0,-19.985376000000002,-44.02702099999999,3,2,1,3,200.0,100.0,barreiro,Diamante(barreiro),None,291,,
41796,420000.0,90.0,-19.9352625,-43.97359970000002,3,2,1,1,150.0,60.0,oeste,Nova Suíssa,None,291,,
2892761,420000.0,108.3,-19.9067547,-43.92236860000003,3,3,1,1,160.0,124.54,leste,Sagrada Família,None,291,,
3242541,420000.0,95.0,-19.946041,-43.946033,2,3,2,1,225.0,54.74,centro-sul,Santo Antônio,None,291,,
3251418,420000.0,82.0,-19.905162,-43.92097999999999,3,2,1,1,300.0,104.0,leste,Sagrada Família,None,291,,
3256532,420000.0,77.5,-19.9541983,-43.97848160000001,3,1,1,2,180.0,1138.26,oeste,Havaí,None,291,,
3261292,420000.0,83.98,-19.993702399999997,-44.02015560000001,3,2,1,2,220.0,88.0,barreiro,Novo Diamante,None,292,,
2538483,425000.0,80.0,-19.8929299,-43.9264622,3,1,1,1,350.0,120.4,leste,Cidade Nova,None,292,,
53796,430000.0,180.0,-19.9017829,-43.98110859999997,3,3,1,1,230.0,124.53,noroeste,Caiçaras,None,292,,
63473,430000.0,101.24,-19.981438,-43.96571599999999,3,2,1,2,413.0,1801.33,oeste,Buritis,None,292,,
1662308,430000.0,80.08,-19.9770951,-44.02300229999997,3,1,1,2,250.0,130.0,barreiro,Barreiro de Baixo,None,292,,
3238132,430000.0,87.32,-19.8933731,-43.93200969999998,3,2,1,1,532.0,118.03,nordeste,Nova Floresta,None,292,,
140801,439000.0,63.71,-19.8631777,-43.95624950000001,2,2,1,2,440.0,1.0,pampulha,Liberdade,None,292,,
2426357,440000.0,72.0,-19.91845,-43.92998599999999,2,1,0,1,543.0,120.0,leste,Floresta,None,292,,
3254321,440000.0,150.0,-19.941839399999996,-43.9353145,4,2,1,2,400.0,160.0,centro-sul,São Pedro,None,292,,
3258924,440000.0,112.0,-19.93038,-43.974793999999974,4,3,1,2,380.0,115.95,oeste,Nova Suíssa,None,292,,
